carbon_monoxide,Time Interval (sec)
55,5
51,10
54,15
54,20
59,25
54,30
52,35
55,40
52,45
56,50
52,55
53,60
58,65
60,70
64,75
60,80
65,85
68,90
65,95
70,100
73,105
77,110
79,115
79,120
77,125
73,130
78,135
79,140
84,145
86,150
89,155
94,160
97,165
97,170
102,175
100,180
104,185
107,190
108,195
109,200
110,205
110,210
111,215
110,220
114,225
118,230
121,235
119,240
122,245
120,250
119,255
118,260
117,265
115,270
115,275
112,280
109,285
105,290
110,295
113,300
115,305
112,310
117,315
118,320
115,325
113,330
117,335
116,340
119,345
121,350
120,355
120,360
123,365
127,370
124,375
120,380
118,385
113,390
109,395
111,400
107,405
102,410
101,415
105,420
101,425
103,430
106,435
102,440
106,445
110,450
109,455
111,460
111,465
109,470
105,475
104,480
104,485
106,490
109,495
109,500
106,505
104,510
99,515
100,520
95,525
93,530
95,535
96,540
99,545
95,550
96,555
98,560
103,565
105,570
109,575
112,580
110,585
111,590
116,595
121,600
119,605
117,610
116,615
116,620
112,625
107,630
103,635
106,640
105,645
105,650
105,655
102,660
103,665
102,670
103,675
102,680
105,685
110,690
111,695
110,700
108,705
112,710
111,715
106,720
110,725
106,730
108,735
112,740
108,745
107,750
111,755
110,760
111,765
114,770
115,775
114,780
110,785
111,790
115,795
117,800
120,805
117,810
116,815
114,820
110,825
112,830
107,835
107,840
103,845
100,850
98,855
97,860
99,865
102,870
100,875
104,880
105,885
107,890
108,895
110,900
108,905
103,910
100,915
100,920
100,925
102,930
97,935
94,940
89,945
92,950
97,955
98,960
97,965
95,970
90,975
93,980
91,985
96,990
94,995
95,1000
97,1005
102,1010
106,1015
103,1020
103,1025
107,1030
108,1035
105,1040
105,1045
102,1050
105,1055
107,1060
103,1065
105,1070
106,1075
110,1080
112,1085
115,1090
112,1095
115,1100
118,1105
123,1110
127,1115
127,1120
126,1125
130,1130
128,1135
130,1140
128,1145
126,1150
121,1155
116,1160
120,1165
120,1170
119,1175
120,1180
120,1185
115,1190
114,1195
115,1200
117,1205
114,1210
113,1215
115,1220
114,1225
112,1230
113,1235
108,1240
111,1245
112,1250
112,1255
115,1260
112,1265
114,1270
112,1275
113,1280
112,1285
112,1290
113,1295
118,1300
117,1305
113,1310
114,1315
113,1320
112,1325
113,1330
110,1335
107,1340
109,1345
109,1350
108,1355
110,1360
107,1365
110,1370
109,1375
107,1380
109,1385
114,1390
114,1395
111,1400
114,1405
111,1410
114,1415
111,1420
108,1425
110,1430
108,1435
105,1440
105,1445
108,1450
108,1455
112,1460
108,1465
110,1470
109,1475
109,1480
107,1485
105,1490
100,1495
103,1500
107,1505
109,1510
109,1515
114,1520
110,1525
115,1530
111,1535
110,1540
109,1545
108,1550
109,1555
111,1560
112,1565
108,1570
108,1575
105,1580
110,1585
112,1590
110,1595
111,1600
110,1605
112,1610
110,1615
112,1620
117,1625
118,1630
123,1635
128,1640
126,1645
126,1650
122,1655
119,1660
122,1665
127,1670
123,1675
126,1680
129,1685
125,1690
122,1695
121,1700
125,1705
120,1710
124,1715
121,1720
125,1725
124,1730
123,1735
125,1740
125,1745
